risk_pct,cagr,total_ret,final_eq,max_dd,sharpe,trades,wr,profit_factor,max_consec_losses
1.0,27.5,1033.6,11335.65,7.7,1.54,389,48.6,2.25,8
1.5,43.2,3517.9,36178.52,11.4,1.33,389,48.6,2.25,8
2.0,60.2,11055.6,111556.1,14.9,1.17,389,48.6,2.25,8
2.5,78.7,33161.2,332611.64,18.5,1.05,389,48.6,2.26,8
3.0,98.7,95868.5,959685.36,22.2,0.96,389,48.6,2.28,8
3.5,120.2,268061.5,2681614.91,26.0,0.89,389,48.6,2.29,8
4.0,143.3,726094.6,7261946.17,29.7,0.84,389,48.6,2.3,8
4.5,167.9,1907102.0,19072019.72,33.4,0.79,389,48.6,2.3,8
5.0,194.2,4860739.2,48608392.22,37.0,0.75,389,48.6,2.3,8
5.5,222.1,12029945.0,120300450.24,40.5,0.71,389,48.6,2.3,8
6.0,251.7,28928178.0,289282780.32,44.0,0.68,389,48.6,2.29,8
6.5,282.8,67627381.7,676274817.13,47.3,0.65,389,48.6,2.28,8
7.0,315.6,153781299.3,1537813992.9,50.6,0.63,389,48.6,2.26,8
7.5,350.0,340320540.4,3403206404.38,53.7,0.6,389,48.6,2.25,8
8.0,385.9,733314621.7,7333147216.54,56.7,0.58,389,48.6,2.23,8
8.5,423.3,1539267806.3,15392679062.62,59.6,0.56,389,48.6,2.21,8
9.0,462.1,3148868796.6,31488688966.12,62.4,0.54,389,48.6,2.19,8
9.5,502.3,6280548618.4,62805487184.43,65.0,0.52,389,48.6,2.17,8
10.0,543.7,12218586739.8,122185868398.1,67.5,0.51,389,48.6,2.14,8
10.5,586.3,23195007482.8,231950075827.54,69.9,0.49,389,48.6,2.12,8
11.0,630.0,42981380683.6,429813807836.08,72.2,0.48,389,48.6,2.1,8
11.5,674.6,77773813988.6,777738140885.76,74.3,0.46,389,48.6,2.07,8
12.0,720.0,137467979706.7,1374679798066.93,76.4,0.45,389,48.6,2.05,8
12.5,766.1,237424804434.5,2374248045345.27,78.3,0.43,389,48.6,2.03,8
13.0,812.6,400813091209.0,4008130913089.75,80.0,0.42,389,48.6,2.0,8
13.5,859.5,661572947565.7,6615729476657.05,81.7,0.41,389,48.6,1.98,8
14.0,906.6,1067963702476.9,10679637025768.76,83.3,0.4,389,48.6,1.96,8
14.5,953.7,1686535136249.9,16865351363498.95,84.7,0.39,389,48.6,1.94,8
15.0,1000.5,2606190998283.7,26061909983836.9,86.1,0.38,389,48.6,1.91,8
