tf,rr,touch_pct,max_bars,n,wr,total_r,pct_ret,max_dd,calmar,pf
Daily (2yr),3.5,0.5,2,85,54.1,68.56,95.1,4.5,21.01,2.86
Daily (2yr),4.0,0.5,2,84,52.4,65.2,88.5,4.5,19.55,2.72
Daily (2yr),3.0,0.5,2,85,54.1,61.45,82.2,4.5,18.15,2.66
Daily (2yr),3.5,0.5,3,79,53.2,62.59,84.0,4.9,17.13,2.78
Daily (2yr),3.5,0.3,2,71,56.3,57.13,74.7,4.9,15.39,3.03
Daily (2yr),3.0,0.5,3,79,53.2,57.33,74.9,4.9,15.14,2.63
Daily (2yr),4.0,0.5,3,77,50.6,57.17,74.2,4.9,15.13,2.58
Daily (2yr),3.5,0.5,5,72,45.8,56.92,73.8,4.9,15.06,2.52
Daily (2yr),4.0,0.3,2,70,54.3,54.06,69.3,4.9,14.27,2.86
Daily (2yr),2.5,0.5,2,85,54.1,49.66,62.5,4.5,13.79,2.35
Daily (2yr),3.0,0.3,2,71,56.3,52.07,66.4,4.9,13.68,2.85
Daily (2yr),2.0,0.5,2,87,57.5,49.04,61.8,4.5,13.65,2.44
Daily (2yr),3.0,0.5,5,72,47.2,50.81,64.0,4.9,13.05,2.39
Daily (2yr),4.0,0.5,5,70,42.9,50.9,63.6,4.9,12.98,2.32
Daily (2yr),2.0,0.5,3,81,58.0,47.49,59.3,4.9,12.11,2.48
Daily (2yr),3.5,0.3,3,65,53.8,46.8,57.8,4.8,12.02,2.69
Daily (2yr),2.0,0.3,3,66,59.1,39.08,46.8,4.0,11.78,2.58
Daily (2yr),1.5,0.5,2,90,61.1,43.33,53.1,4.5,11.74,2.32
Daily (2yr),2.0,0.3,2,72,59.7,42.48,51.8,4.7,11.01,2.63
Daily (2yr),3.0,0.3,3,65,53.8,43.39,52.7,4.8,10.96,2.57
Daily (2yr),1.5,0.5,3,87,62.1,42.47,51.8,4.9,10.52,2.33
Daily (2yr),2.5,0.5,3,79,53.2,45.9,56.5,5.4,10.45,2.31
Daily (2yr),3.5,0.3,5,60,48.3,51.9,65.7,6.3,10.36,2.76
Daily (2yr),2.5,0.3,2,71,56.3,42.56,51.7,5.1,10.1,2.52
Daily (2yr),4.0,0.3,3,64,50.0,40.3,47.8,4.8,9.94,2.36
Daily (2yr),4.0,0.2,2,59,50.8,40.69,48.5,4.9,9.8,2.51
Daily (2yr),1.5,0.3,2,74,60.8,35.08,41.2,4.2,9.77,2.34
Daily (2yr),1.5,0.3,3,71,62.0,33.96,39.7,4.1,9.64,2.33
30m   (~60d),4.0,0.1,16,12,75.0,9.36,9.6,1.0,9.63,4.12
Daily (2yr),2.5,0.5,5,73,49.3,44.47,54.3,5.6,9.62,2.22
Daily (2yr),3.5,0.2,2,60,53.3,43.79,53.2,5.7,9.42,2.69
Daily (2yr),3.0,0.3,5,60,50.0,47.56,59.0,6.4,9.23,2.67
30m   (~60d),4.0,0.1,10,12,75.0,8.98,9.2,1.0,9.22,3.99
Daily (2yr),2.5,0.1,2,48,54.2,24.56,27.1,3.0,9.14,2.23
30m   (~60d),3.5,0.1,16,12,75.0,8.86,9.1,1.0,9.1,3.95
30m   (~60d),3.0,0.1,16,12,75.0,8.83,9.1,1.0,9.07,3.94
30m   (~60d),3.5,0.1,10,12,75.0,8.48,8.7,1.0,8.69,3.83
30m   (~60d),3.0,0.1,10,12,75.0,8.45,8.7,1.0,8.66,3.82
Daily (2yr),2.0,0.5,5,74,56.8,48.17,60.4,7.0,8.64,2.53
Daily (2yr),4.0,0.3,5,59,44.1,44.59,54.0,6.3,8.51,2.41
Daily (2yr),2.5,0.3,3,65,53.8,35.34,41.2,5.0,8.22,2.28
Daily (2yr),2.0,0.1,2,48,58.3,26.98,30.3,3.7,8.22,2.51
Daily (2yr),2.5,0.2,2,61,54.1,34.97,40.8,5.2,7.91,2.35
30m   (~60d),2.5,0.1,16,12,75.0,7.68,7.8,1.0,7.85,3.56
Daily (2yr),3.5,0.1,2,47,53.2,31.36,35.8,4.6,7.78,2.58
30m   (~60d),2.5,0.1,10,12,75.0,7.3,7.4,1.0,7.45,3.43
Daily (2yr),3.0,0.2,2,60,53.3,39.99,47.8,6.6,7.28,2.54
Daily (2yr),2.0,0.2,2,61,57.4,34.39,40.1,5.6,7.12,2.44
30m   (~60d),3.0,0.1,6,12,75.0,6.89,7.0,1.0,7.0,3.3
Daily (2yr),1.5,0.5,5,83,60.2,41.62,50.5,7.3,6.95,2.28
Daily (2yr),3.0,0.1,2,47,53.2,27.42,30.7,4.7,6.59,2.38
Daily (2yr),4.0,0.1,2,46,50.0,26.86,29.8,4.6,6.47,2.29
Daily (2yr),2.0,0.1,5,44,54.5,26.73,30.0,4.7,6.42,2.44
Daily (2yr),4.0,0.2,3,57,45.6,29.54,32.9,5.2,6.37,2.0
Daily (2yr),2.0,0.3,5,61,57.4,41.14,49.8,7.9,6.33,2.68
30m   (~60d),2.0,0.1,16,12,75.0,6.18,6.3,1.0,6.28,3.06
Daily (2yr),2.0,0.1,3,47,55.3,23.19,25.5,4.2,6.1,2.18
Daily (2yr),3.5,0.2,3,58,48.3,32.54,37.1,6.1,6.1,2.14
Daily (2yr),2.5,0.1,3,47,48.9,18.23,19.3,3.2,5.98,1.81
30m   (~60d),2.5,0.1,6,12,75.0,5.89,6.0,1.0,5.96,2.96
Daily (2yr),2.5,0.3,5,60,50.0,37.44,44.1,7.4,5.93,2.31
Daily (2yr),3.5,0.1,5,42,45.2,31.77,36.1,6.1,5.91,2.47
Daily (2yr),3.5,0.2,5,53,43.4,38.11,44.7,7.6,5.89,2.33
30m   (~60d),2.0,0.1,10,12,75.0,5.8,5.9,1.0,5.88,2.93
Daily (2yr),4.0,0.2,5,52,40.4,34.3,39.2,6.7,5.86,2.16
30m   (~60d),4.0,0.1,6,12,75.0,5.7,5.7,1.0,5.74,2.9
30m   (~60d),1.5,0.1,16,12,75.0,5.43,5.5,1.0,5.51,2.81
Daily (2yr),2.0,0.2,3,59,54.2,29.19,33.0,6.1,5.41,2.14
Daily (2yr),2.5,0.2,3,59,49.2,26.59,29.5,5.6,5.28,1.93
Daily (2yr),2.5,0.1,5,43,46.5,22.65,24.7,4.7,5.25,2.05
Daily (2yr),4.0,0.1,5,41,41.5,26.92,29.7,5.7,5.25,2.19
30m   (~60d),3.5,0.1,6,12,75.0,5.2,5.2,1.0,5.23,2.73
Daily (2yr),1.5,0.3,5,68,58.8,32.59,37.7,7.2,5.21,2.23
Daily (2yr),3.5,0.1,3,46,47.8,23.78,25.9,5.1,5.1,2.05
30m   (~60d),2.0,0.1,6,12,75.0,4.96,5.0,1.0,5.01,2.65
30m   (~60d),1.5,0.1,10,12,75.0,4.94,5.0,1.0,5.0,2.65
Daily (2yr),3.0,0.2,3,58,48.3,30.63,34.6,7.0,4.95,2.07
Daily (2yr),1.5,0.1,2,48,58.3,20.94,22.8,4.6,4.93,2.17
Daily (2yr),3.0,0.2,5,53,45.3,35.27,40.9,8.5,4.82,2.28
30m   (~60d),1.5,0.1,6,12,75.0,4.67,4.7,1.0,4.72,2.56
Daily (2yr),2.0,0.2,5,55,52.7,30.73,35.1,7.5,4.66,2.25
Daily (2yr),2.5,0.2,5,54,46.3,29.15,32.8,7.1,4.62,2.06
Daily (2yr),3.0,0.1,5,42,45.2,26.43,29.3,6.6,4.46,2.23
Daily (2yr),3.0,0.1,3,46,47.8,21.23,22.8,5.1,4.44,1.94
Daily (2yr),1.5,0.2,2,62,58.1,26.94,30.3,7.0,4.32,2.13
Daily (2yr),1.5,0.1,5,47,55.3,19.45,21.0,5.0,4.23,2.0
Daily (2yr),1.0,0.5,2,97,63.9,26.19,29.3,7.1,4.15,1.77
Daily (2yr),1.5,0.1,3,48,58.3,19.57,21.2,5.1,4.14,2.0
Daily (2yr),1.0,0.5,3,95,64.2,26.1,29.2,7.3,4.03,1.78
Daily (2yr),4.0,0.1,3,45,44.4,19.28,20.3,5.1,4.0,1.82
Daily (2yr),1.5,0.2,3,62,58.1,25.57,28.5,7.5,3.81,2.0
